gen1,gen2,score
PON1,SOD1,0.338
PON1,PSEN1,0.408
PON1,UNC13A,0.489
PON1,PON2,0.537
PON1,PON3,0.957
SETX,ANXA11,0.311
SETX,MAPT,0.354
SETX,CCNF,0.375
SETX,TUBA4A,0.415
SETX,TAF15,0.427
SETX,UNC13A,0.446
SETX,TBK1,0.449
SETX,KIF5A,0.449
SETX,TIA1,0.457
SETX,GLE1,0.459
SETX,CFAP410,0.465
SETX,SQSTM1,0.478
SETX,HNRNPA2B1,0.489
SETX,PFN1,0.531
SETX,HNRNPA1,0.558
SETX,CHCHD10,0.587
SETX,MATR3,0.608
SETX,NEK1,0.619
SETX,CHMP2B,0.629
SETX,VCP,0.634
SETX,ANG,0.674
SETX,NEFH,0.683
SETX,UBQLN2,0.685
SETX,SIGMAR1,0.69
SETX,C9orf72,0.744
SETX,OPTN,0.75
SETX,SOD1,0.777
SETX,SPG11,0.783
SETX,DCTN1,0.785
SETX,ATXN2,0.79
SETX,FIG4,0.82
SETX,TARDBP,0.862
SETX,VAPB,0.865
SETX,FUS,0.887
SETX,ALS2,0.909
PFN1,GLE1,0.305
PFN1,MAPT,0.306
PFN1,TIA1,0.337
PFN1,UNC13A,0.356
PFN1,ANXA11,0.391
PFN1,CFAP410,0.414
PFN1,SIGMAR1,0.435
PFN1,HNRNPA2B1,0.44
PFN1,TBK1,0.446
PFN1,SQSTM1,0.463
PFN1,CCNF,0.465
PFN1,SPG11,0.476
PFN1,FIG4,0.507
PFN1,KIF5A,0.507
PFN1,CHMP2B,0.512
PFN1,NEK1,0.578
PFN1,ALS2,0.58
PFN1,OPTN,0.583
PFN1,ATXN2,0.597
PFN1,CHCHD10,0.597
PFN1,HNRNPA1,0.599
PFN1,MATR3,0.6
PFN1,VAPB,0.601
PFN1,DCTN1,0.61
PFN1,NEFH,0.622
PFN1,TARDBP,0.666
PFN1,FUS,0.668
PFN1,C9orf72,0.67
PFN1,SOD1,0.675
PFN1,UBQLN2,0.712
PFN1,TUBA4A,0.747
PFN1,VCP,0.814
DAO,FIG4,0.311
DAO,TAF15,0.318
DAO,CHMP2B,0.324
DAO,VAPB,0.328
DAO,SOD1,0.332
DAO,SIGMAR1,0.334
DAO,ALS2,0.354
DAO,ERBB4,0.44
FIG4,SPTLC1,0.302
FIG4,MAPT,0.303
FIG4,TAF15,0.305
FIG4,CCNF,0.315
FIG4,ANG,0.324
FIG4,GLE1,0.33
FIG4,HNRNPA2B1,0.339
FIG4,CFAP410,0.349
FIG4,TUBA4A,0.396
FIG4,TBK1,0.438
FIG4,GLT8D1,0.442
FIG4,UNC13A,0.445
FIG4,KIF5A,0.447
FIG4,HNRNPA1,0.448
FIG4,NEK1,0.512
FIG4,SIGMAR1,0.543
FIG4,MATR3,0.545
FIG4,CHCHD10,0.571
FIG4,VCP,0.61
FIG4,C9orf72,0.624
FIG4,SPG11,0.675
FIG4,NEFH,0.679
FIG4,ATXN2,0.689
FIG4,UBQLN2,0.721
FIG4,FUS,0.737
FIG4,OPTN,0.738
FIG4,SOD1,0.739
FIG4,SQSTM1,0.755
FIG4,CHMP2B,0.769
FIG4,DCTN1,0.775
FIG4,TARDBP,0.835
FIG4,VAPB,0.844
FIG4,ALS2,0.854
TARDBP,GLT8D1,0.316
TARDBP,ANXA11,0.419
TARDBP,PPARGC1A,0.44
TARDBP,CFAP410,0.446
TARDBP,TUBA4A,0.533
TARDBP,ANG,0.543
TARDBP,UNC13A,0.545
TARDBP,TREM2,0.58
TARDBP,NEK1,0.593
TARDBP,SPG11,0.602
TARDBP,SIGMAR1,0.603
TARDBP,KIF5A,0.659
TARDBP,GLE1,0.667
TARDBP,PSEN1,0.702
TARDBP,CHCHD10,0.715
TARDBP,TBK1,0.73
TARDBP,NEFH,0.749
TARDBP,DCTN1,0.791
TARDBP,CCNF,0.818
TARDBP,ALS2,0.828
TARDBP,CHMP2B,0.852
TARDBP,TAF15,0.884
TARDBP,VAPB,0.891
TARDBP,TIA1,0.927
TARDBP,C9orf72,0.943
TARDBP,SQSTM1,0.95
TARDBP,OPTN,0.954
TARDBP,VCP,0.964
TARDBP,UBQLN2,0.968
TARDBP,MAPT,0.97
TARDBP,SOD1,0.989
TARDBP,ATXN2,0.992
TARDBP,MATR3,0.995
TARDBP,HNRNPA1,0.997
TARDBP,HNRNPA2B1,0.998
TARDBP,FUS,0.999
TUBA4A,TIA1,0.318
TUBA4A,GLE1,0.323
TUBA4A,HNRNPA2B1,0.365
TUBA4A,SQSTM1,0.419
TUBA4A,HNRNPA1,0.429
TUBA4A,SPG11,0.432
TUBA4A,ATXN2,0.446
TUBA4A,ANXA11,0.493
TUBA4A,TBK1,0.496
TUBA4A,CFAP410,0.505
TUBA4A,CCNF,0.511
TUBA4A,FUS,0.513
TUBA4A,VAPB,0.517
TUBA4A,ALS2,0.543
TUBA4A,C9orf72,0.57
TUBA4A,NEK1,0.577
TUBA4A,DCTN1,0.6
TUBA4A,UBQLN2,0.612
TUBA4A,VCP,0.618
TUBA4A,NEFH,0.621
TUBA4A,MATR3,0.622
TUBA4A,CHCHD10,0.623
TUBA4A,KIF5A,0.644
